﻿Geography,Year,Category,Industry Space Use,Value
Carlton,2025,Jobs by industry,Accommodation,813
Carlton,2031,Jobs by industry,Accommodation,966
Carlton,2034,Jobs by industry,Accommodation,995
Carlton,2035,Jobs by industry,Accommodation,996
Carlton,2037,Jobs by industry,Accommodation,996
Carlton,2039,Jobs by industry,Accommodation,994
Carlton,2040,Jobs by industry,Accommodation,994
Carlton,2043,Jobs by industry,Accommodation,992
Carlton,2027,Jobs by industry,Admin and support services,111
Carlton,2033,Jobs by industry,Admin and support services,128
Carlton,2035,Jobs by industry,Admin and support services,129
Carlton,2036,Jobs by industry,Admin and support services,130
Carlton,2042,Jobs by industry,Admin and support services,135
Carlton,2027,Jobs by industry,Agriculture and mining,0
Carlton,2030,Jobs by industry,Agriculture and mining,0
Carlton,2031,Jobs by industry,Agriculture and mining,0
Carlton,2035,Jobs by industry,Agriculture and mining,0
Carlton,2037,Jobs by industry,Agriculture and mining,0
Carlton,2040,Jobs by industry,Agriculture and mining,0
Carlton,2042,Jobs by industry,Agriculture and mining,0
Carlton,2043,Jobs by industry,Agriculture and mining,0
Carlton,2023,Jobs by industry,Arts and recreation services,767
Carlton,2026,Jobs by industry,Arts and recreation services,819
Carlton,2030,Jobs by industry,Arts and recreation services,847
Carlton,2031,Jobs by industry,Arts and recreation services,837
Carlton,2033,Jobs by industry,Arts and recreation services,837
Carlton,2036,Jobs by industry,Arts and recreation services,836
Carlton,2023,Jobs by industry,Business services,2079
Carlton,2030,Jobs by industry,Business services,2436
Carlton,2032,Jobs by industry,Business services,2608
Carlton,2033,Jobs by industry,Business services,2703
Carlton,2034,Jobs by industry,Business services,2830
Carlton,2035,Jobs by industry,Business services,2860
Carlton,2040,Jobs by industry,Business services,2832
Carlton,2043,Jobs by industry,Business services,2869
Carlton,2023,Jobs by industry,Construction,106
Carlton,2025,Jobs by industry,Construction,108
Carlton,2032,Jobs by industry,Construction,124
Carlton,2035,Jobs by industry,Construction,129
Carlton,2036,Jobs by industry,Construction,127
Carlton,2037,Jobs by industry,Construction,127
Carlton,2026,Jobs by industry,Education and training,4003
Carlton,2027,Jobs by industry,Education and training,4258
Carlton,2029,Jobs by industry,Education and training,4700
Carlton,2030,Jobs by industry,Education and training,4905
Carlton,2032,Jobs by industry,Education and training,5138
Carlton,2035,Jobs by industry,Education and training,5391
Carlton,2039,Jobs by industry,Education and training,5291
Carlton,2025,Jobs by industry,"Electricity, gas, water and waste services",0
Carlton,2027,Jobs by industry,"Electricity, gas, water and waste services",0
Carlton,2028,Jobs by industry,"Electricity, gas, water and waste services",0
Carlton,2031,Jobs by industry,"Electricity, gas, water and waste services",0
Carlton,2035,Jobs by industry,"Electricity, gas, water and waste services",0
Carlton,2038,Jobs by industry,"Electricity, gas, water and waste services",0
Carlton,2040,Jobs by industry,"Electricity, gas, water and waste services",0
Carlton,2042,Jobs by industry,"Electricity, gas, water and waste services",0
Carlton,2024,Jobs by industry,Finance and insurance,190
Carlton,2025,Jobs by industry,Finance and insurance,193
Carlton,2027,Jobs by industry,Finance and insurance,199
Carlton,2030,Jobs by industry,Finance and insurance,206
Carlton,2031,Jobs by industry,Finance and insurance,208
